"icd","ccs","ccsdesc","icddesc","optccs","optccsdesc","icdvers"
,"0","No DX","INVALID CODES IN USER DATA",,,"ICD-9-CM"
"0010","135","Intest infct","CHOLERA D/T VIB CHOLERAE",,,"ICD-9-CM"
"0011","135","Intest infct","CHOLERA D/T VIB EL TOR",,,"ICD-9-CM"
"0019","135","Intest infct","CHOLERA NOS",,,"ICD-9-CM"
"0020","135","Intest infct","TYPHOID FEVER",,,"ICD-9-CM"
"0021","135","Intest infct","PARATYPHOID FEVER A",,,"ICD-9-CM"
"0022","135","Intest infct","PARATYPHOID FEVER B",,,"ICD-9-CM"
"0023","135","Intest infct","PARATYPHOID FEVER C",,,"ICD-9-CM"
"0029","135","Intest infct","PARATYPHOID FEVER NOS",,,"ICD-9-CM"
"0030","135","Intest infct","SALMONELLA ENTERITIS",,,"ICD-9-CM"
"0031","2","Septicemia","SALMONELLA SEPTICEMIA",,,"ICD-9-CM"
"00320","135","Intest infct","LOCAL SALMONELLA INF NOS",,,"ICD-9-CM"
"00321","76","Meningitis","SALMONELLA MENINGITIS",,,"ICD-9-CM"
"00322","122","Pneumonia","SALMONELLA PNEUMONIA",,,"ICD-9-CM"
"00323","201","Infect arth","SALMONELLA ARTHRITIS",,,"ICD-9-CM"
"00324","201","Infect arth","SALMONELLA OSTEOMYELITIS",,,"ICD-9-CM"
"00329","135","Intest infct","LOCAL SALMONELLA INF NEC",,,"ICD-9-CM"
"0038","135","Intest infct","SALMONELLA INFECTION NEC",,,"ICD-9-CM"
"0039","135","Intest infct","SALMONELLA INFECTION NOS",,,"ICD-9-CM"
"0040","135","Intest infct","SHIGELLA DYSENTERIAE",,,"ICD-9-CM"
"0041","135","Intest infct","SHIGELLA FLEXNERI",,,"ICD-9-CM"
"0042","135","Intest infct","SHIGELLA BOYDII",,,"ICD-9-CM"
"0043","135","Intest infct","SHIGELLA SONNEI",,,"ICD-9-CM"
"0048","135","Intest infct","SHIGELLA INFECTION NEC",,,"ICD-9-CM"
"0049","135","Intest infct","SHIGELLOSIS NOS",,,"ICD-9-CM"
"0050","135","Intest infct","STAPH FOOD POISONING",,,"ICD-9-CM"
"0051","135","Intest infct","BOTULISM",,,"ICD-9-CM"
"0052","135","Intest infct","FOOD POIS D/T C. PERFRIN",,,"ICD-9-CM"
"0053","135","Intest infct","FOOD POIS: CLOSTRID NEC",,,"ICD-9-CM"
"0054","135","Intest infct","FOOD POIS: V. PARAHAEM",,,"ICD-9-CM"
"0058","135","Intest infct","BACT FOOD POISONING NEC (End 1995)",,,"ICD-9-CM"
"00581","135","Intest infct","FOOD POISONING VIBRIO (Begin 1995)",,,"ICD-9-CM"
"00589","135","Intest infct","OTH BACT FOOD POISONING (Begin 1995)",,,"ICD-9-CM"
"0059","135","Intest infct","FOOD POISONING NOS",,,"ICD-9-CM"
"0060","135","Intest infct","AC AMEBIASIS W/O ABSCESS",,,"ICD-9-CM"
"0061","135","Intest infct","CHR AMEBIASIS W/O ABSCES",,,"ICD-9-CM"
"0062","135","Intest infct","AMEBIC NONDYSENT COLITIS",,,"ICD-9-CM"
"0063","135","Intest infct","AMEBIC LIVER ABSCESS",,,"ICD-9-CM"
"0064","135","Intest infct","AMEBIC LUNG ABSCESS",,,"ICD-9-CM"
"0065","135","Intest infct","AMEBIC BRAIN ABSCESS",,,"ICD-9-CM"
"0066","135","Intest infct","AMEBIC SKIN ULCERATION",,,"ICD-9-CM"
"0068","135","Intest infct","AMEBIC INFECTION NEC",,,"ICD-9-CM"
"0069","135","Intest infct","AMEBIASIS NOS",,,"ICD-9-CM"
"0070","135","Intest infct","BALANTIDIASIS",,,"ICD-9-CM"
"0071","135","Intest infct","GIARDIASIS",,,"ICD-9-CM"
"0072","135","Intest infct","COCCIDIOSIS",,,"ICD-9-CM"
"0073","135","Intest infct","INTEST TRICHOMONIASIS",,,"ICD-9-CM"
"0074","135","Intest infct","OT PROTOZ INTEST DX- CRYP (Begin 1997)",,,"ICD-9-CM"
"0075","135","Intest infct","CYCLOSPORIASIS (Begin 2000)",,,"ICD-9-CM"
"0078","135","Intest infct","PROTOZOAL INTEST DIS NEC",,,"ICD-9-CM"
"0079","135","Intest infct","PROTOZOAL INTEST DIS NOS",,,"ICD-9-CM"
"0080","135","Intest infct","E. COLI ENTERITIS (Begin 1980 End 1992)",,,"ICD-9-CM"
"00800","135","Intest infct","E. COLI ENTERITIS-NOS (Begin 1992)",,,"ICD-9-CM"
"00801","135","Intest infct","E. COLI ENTERITIS-PATH (Begin 1992)",,,"ICD-9-CM"
"00802","135","Intest infct","E. COLI ENTERITIS-TOX (Begin 1992)",,,"ICD-9-CM"
"00803","135","Intest infct","E. COLI ENTERITIS-INVAS (Begin 1992)",,,"ICD-9-CM"
"00804","135","Intest infct","E. COLI ENTERITIS-HEMOR (Begin 1992)",,,"ICD-9-CM"
"00809","135","Intest infct","E. COLI ENTERITIS-OTHER (Begin 1992)",,,"ICD-9-CM"
"0081","135","Intest infct","ARIZONA ENTERITIS",,,"ICD-9-CM"
"0082","135","Intest infct","AEROBACTER ENTERITIS",,,"ICD-9-CM"
"0083","135","Intest infct","PROTEUS ENTERITIS",,,"ICD-9-CM"
"00841","135","Intest infct","STAPHYLOCOCC ENTERITIS",,,"ICD-9-CM"
"00842","135","Intest infct","PSEUDOMONAS ENTERITIS",,,"ICD-9-CM"
"00843","135","Intest infct","CAMPYLOBACTER (Begin 1992)",,,"ICD-9-CM"
"00844","135","Intest infct","YERSINIA (Begin 1992)",,,"ICD-9-CM"
"00845","135","Intest infct","CLOSTRIDIUM DIF (Begin 1992)",,,"ICD-9-CM"
"00846","135","Intest infct","OTHER ANAEROBES (Begin 1992)",,,"ICD-9-CM"
"00847","135","Intest infct","OTH GRAM NEG BACT (Begin 1992)",,,"ICD-9-CM"
"00849","135","Intest infct","BACTERIAL ENTERITIS NEC",,,"ICD-9-CM"
"0085","135","Intest infct","BACTERIAL ENTERITIS NOS",,,"ICD-9-CM"
"0086","135","Intest infct","VIRAL ENTERITIS NEC (Begin 1980 End 1992)",,,"ICD-9-CM"
"00861","135","Intest infct","ROTAVIRUS ENTERITIS (Begin 1992)",,,"ICD-9-CM"
"00862","135","Intest infct","ADENOVIR ENTERITIS (Begin 1992)",,,"ICD-9-CM"
"00863","135","Intest infct","NORWALK VIR ENTERITIS (Begin 1992)",,,"ICD-9-CM"
"00864","135","Intest infct","SML ROUND VIR ENTERITIS (Begin 1992)",,,"ICD-9-CM"
"00865","135","Intest infct","CALCIVIRUS ENTERITIS (Begin 1992)",,,"ICD-9-CM"
"00866","135","Intest infct","ASTROVIRUS ENTERITIS (Begin 1992)",,,"ICD-9-CM"
"00867","135","Intest infct","ENTERITIS NEC (Begin 1992)",,,"ICD-9-CM"
"00869","135","Intest infct","ENTERITIS NOS (Begin 1992)",,,"ICD-9-CM"
"0088","135","Intest infct","VIRAL ENTERITIS NOS",,,"ICD-9-CM"
"0090","135","Intest infct","INFECTIOUS ENTERITIS NOS",,,"ICD-9-CM"
"0091","135","Intest infct","ENTERITIS OF INFECT ORIG",,,"ICD-9-CM"
"0092","135","Intest infct","INFECTIOUS DIARRHEA NOS",,,"ICD-9-CM"
"0093","135","Intest infct","DIARRHEA OF INFECT ORIG",,,"ICD-9-CM"
"01000","1","Tuberculosis","PRIM TB COMPLEX-UNSPEC",,,"ICD-9-CM"
"01001","1","Tuberculosis","PRIM TB COMPLEX-NO EXAM",,,"ICD-9-CM"
"01002","1","Tuberculosis","PRIM TB COMPLEX-EXM UNKN",,,"ICD-9-CM"
"01003","1","Tuberculosis","PRIM TB COMPLEX-MICRO DX",,,"ICD-9-CM"
"01004","1","Tuberculosis","PRIM TB COMPLEX-CULT DX",,,"ICD-9-CM"
"01005","1","Tuberculosis","PRIM TB COMPLEX-HISTO DX",,,"ICD-9-CM"
"01006","1","Tuberculosis","PRIM TB COMPLEX-OTH TEST",,,"ICD-9-CM"
"01010","1","Tuberculosis","PRIM TB PLEURISY-UNSPEC",,,"ICD-9-CM"
"01011","1","Tuberculosis","PRIM TB PLEURISY-NO EXAM",,,"ICD-9-CM"
"01012","1","Tuberculosis","PRIM TB PLEUR-EXAM UNKN",,,"ICD-9-CM"
"01013","1","Tuberculosis","PRIM TB PLEURIS-MICRO DX",,,"ICD-9-CM"
"01014","1","Tuberculosis","PRIM TB PLEURISY-CULT DX",,,"ICD-9-CM"
"01015","1","Tuberculosis","PRIM TB PLEURIS-HISTO DX",,,"ICD-9-CM"
"01016","1","Tuberculosis","PRIM TB PLEURIS-OTH TEST",,,"ICD-9-CM"
"01080","1","Tuberculosis","PRIM PROG TB NEC-UNSPEC",,,"ICD-9-CM"
"01081","1","Tuberculosis","PRIM PROG TB NEC-NO EXAM",,,"ICD-9-CM"
"01082","1","Tuberculosis","PRIM PR TB NEC-EXAM UNKN",,,"ICD-9-CM"
"01083","1","Tuberculosis","PRIM PRG TB NEC-MICRO DX",,,"ICD-9-CM"
"01084","1","Tuberculosis","PRIM PROG TB NEC-CULT DX",,,"ICD-9-CM"
"01085","1","Tuberculosis","PRIM PRG TB NEC-HISTO DX",,,"ICD-9-CM"
"01086","1","Tuberculosis","PRIM PRG TB NEC-OTH TEST",,,"ICD-9-CM"
"01090","1","Tuberculosis","PRIMARY TB NOS-UNSPEC",,,"ICD-9-CM"
"01091","1","Tuberculosis","PRIMARY TB NOS-NO EXAM",,,"ICD-9-CM"
"01092","1","Tuberculosis","PRIMARY TB NOS-EXAM UNKN",,,"ICD-9-CM"
"01093","1","Tuberculosis","PRIMARY TB NOS-MICRO DX",,,"ICD-9-CM"
"01094","1","Tuberculosis","PRIMARY TB NOS-CULT DX",,,"ICD-9-CM"
"01095","1","Tuberculosis","PRIMARY TB NOS-HISTO DX",,,"ICD-9-CM"
"01096","1","Tuberculosis","PRIMARY TB NOS-OTH TEST",,,"ICD-9-CM"
"01100","1","Tuberculosis","TB LUNG INFILTR-UNSPEC",,,"ICD-9-CM"
"01101","1","Tuberculosis","TB LUNG INFILTR-NO EXAM",,,"ICD-9-CM"
"01102","1","Tuberculosis","TB LUNG INFILTR-EXM UNKN",,,"ICD-9-CM"
"01103","1","Tuberculosis","TB LUNG INFILTR-MICRO DX",,,"ICD-9-CM"
"01104","1","Tuberculosis","TB LUNG INFILTR-CULT DX",,,"ICD-9-CM"
"01105","1","Tuberculosis","TB LUNG INFILTR-HISTO DX",,,"ICD-9-CM"
"01106","1","Tuberculosis","TB LUNG INFILTR-OTH TEST",,,"ICD-9-CM"
"01110","1","Tuberculosis","TB LUNG NODULAR-UNSPEC",,,"ICD-9-CM"
"01111","1","Tuberculosis","TB LUNG NODULAR-NO EXAM",,,"ICD-9-CM"
"01112","1","Tuberculosis","TB LUNG NODUL-EXAM UNKN",,,"ICD-9-CM"
"01113","1","Tuberculosis","TB LUNG NODULAR-MICRO DX",,,"ICD-9-CM"
"01114","1","Tuberculosis","TB LUNG NODULAR-CULT DX",,,"ICD-9-CM"
"01115","1","Tuberculosis","TB LUNG NODULAR-HISTO DX",,,"ICD-9-CM"
"01116","1","Tuberculosis","TB LUNG NODULAR-OTH TEST",,,"ICD-9-CM"
"01120","1","Tuberculosis","TB LUNG W CAVITY-UNSPEC",,,"ICD-9-CM"
"01121","1","Tuberculosis","TB LUNG W CAVITY-NO EXAM",,,"ICD-9-CM"
"01122","1","Tuberculosis","TB LUNG CAVITY-EXAM UNKN",,,"ICD-9-CM"
"01123","1","Tuberculosis","TB LUNG W CAVIT-MICRO DX",,,"ICD-9-CM"
"01124","1","Tuberculosis","TB LUNG W CAVITY-CULT DX",,,"ICD-9-CM"
